wario	9.98	
superboomfan	9.92	
isai	9.81	
alvin	9.74	
wangera	9.42	
mariguas	9.38	
wizzrobe	9.09	
tacos	8.88	
dext3r	8.88	
kerokeroppi	8.86	
thez	8.86	
kurabba	8.84	
prince	8.7	
stranded	8.5	
revan	8.48	
ld	8.26	fox
derek	7.96	
kort	7.93	
zero	7.83	
bonobono	7.83	
banze	7.7	
barksanchez	7.68	
jaimehr	7.65	
fireblaster	7.48	
firo	7.47	
heropie	7.47	
dtan	7.4	
shalaka	7.32	
lordnarwhal	6.99	
kimimaru	6.82	
ybombb	6.8	
clubbadubba	6.79	
kyletree	6.74	
starking	6.72	
shears	6.66	
handsometom	6.58	htom
nintendude	6.39	
cobr	6.35	
marbles	6.07	mrmarbles
nta	5.95	
nacl	5.91	
comboblaze	5.91	
sheermadness	5.9	
near	5.87	
zantetsu	5.82	
wookiee	5.81	
robert	5.6	
jim	5.48	
snorlax	5.43	
ctg	5.35	
janitor	5.33	
dabear	5.28	
sotoh	5.21	
kajaran	5.17	dajjal
darkhorse	5.06	
hipstur	4.92	
nothing	4.9	
blink	4.77	
jimmyjoe	4.74	
lorenzo	4.69	
d35	4.65	
dogg	4.64	
pete	4.57	
jason	4.48	
